t,J_full,J_red,Q_outer_full,Q_outer_red,M_full,M_red,mass_bulk_full,mass_coating_full,mass_red,balance_normalized_full,balance_normalized_red,robin_flux_mismatch_red
0.8260000000000001,1.72541038852996,1.6663525892395186,1.9330193211067008,1.8726865895906906,2.2212298087822617,2.1381866158523994,0.20848103966735043,0.006950297737012947,0.20719000374229332,1.758936382988625e-15,3.1569284678976305e-15,1.2878587085651816e-14
0.8270000000000001,1.7236927343247375,1.664693625274358,1.93109662253449,1.8708238117841132,2.2229535015165864,2.139851309477674,0.20827363577914063,0.00694336642412729,0.20698387355578443,5.389860214348203e-16,4.339535244545167e-15,1.509903313490213e-14
0.8280000000000001,1.7219767784578057,1.6630363018747194,1.929175822386829,1.8689628734855426,2.2246754782950444,2.1415143457795485,0.2080664367352111,0.006936441999246584,0.20677794698417232,2.330737923186701e-15,9.630737475896018e-15,2.930988785010413e-14
0.8290000000000001,1.7202625192682273,1.6613806174357124,1.927256918812188,1.8671037729004154,2.2263957408143127,2.143175726396984,0.20785944233566786,0.006929524455565058,0.206572223828708,2.3330585589507747e-15,2.497417000117847e-15,1.509903313490213e-14
0.8300000000000001,1.7185499550966459,1.659726570353909,1.9253399099608215,1.8652465082359253,2.228114290769409,2.144835452967338,0.20765265238080305,0.006922613786283468,0.2063667038908268,1.3767218232891124e-15,1.4880379345612078e-17,-1.0880185641326534e-14
0.8310000000000001,1.7168390842853196,1.658074159027374,1.9234247939847282,1.8633910777008948,2.2298311298536944,2.146493527126365,0.20744606667110468,0.006915709984609238,0.2061613869721526,5.267055479053467e-16,8.147672296725545e-15,2.7977620220553945e-14
0.8320000000000001,1.7151299051780728,1.656423381855881,1.9215115690376778,1.8615374795059239,2.2315462597588724,2.148149950508221,0.2072396850072452,0.006908813043756513,0.20595627287450288,9.389027076841417e-17,3.503856538738059e-16,-1.3100631690576847e-14
0.833,1.7134224161203244,1.6547742372405203,1.9196002332751714,1.8596857118632926,2.233259682174993,2.1498047247454615,0.20703350719009003,0.006901922956945953,0.20575136139987926,2.891807901926859e-17,4.567011556954324e-15,1.4876988529977098e-14
0.834,1.7117166154590449,1.6531267235840905,1.9176907848545228,1.8578357729869697,2.234971398790452,2.1514578514690457,0.20682753302069484,0.006895039717404913,0.20554665235047662,2.677585734595308e-16,3.8843313090376847e-16,5.10702591327572e-15
0.835,1.7100125015428402,1.6514808392907796,1.915783221934746,1.855987661092638,2.236681411291995,2.1531093323083366,0.20662176230030146,0.006888163318367355,0.2053421455286754,2.8903256234418516e-15,4.875203558933273e-15,1.3988810110276972e-14
0.836,1.7083100727218417,1.6498365827664214,1.9138775426766146,1.8541413743976827,2.238389721364717,2.154759168891103,0.206416194830347,0.006881293753073794,0.20513784073704466,8.338807276387635e-16,4.423488255895656e-15,3.3306690738754696e-15
0.837,1.7066093273478167,1.648193952418283,1.9119737452426824,1.8522969111211647,2.2400963306920647,2.1564073628435216,0.20621083041245356,0.006874431014771461,0.20493373777834106,9.072946112848538e-16,3.5363206654184017e-15,1.4654943925052066e-14
0.838,1.7049102637740388,1.6465529466552309,1.9100718277972097,1.8504542694838773,2.2418012409558385,2.158053915790177,0.20600566884842866,0.00686757509671413,0.20472983645551346,6.974960889751589e-16,4.11731628937537e-15,6.661338147750939e-15
0.839,1.7032128803554263,1.6449135638875996,1.9081717885062544,1.8486134477082599,2.243504453836194,2.159698829354064,0.20580070994027871,0.006860725992162078,0.2045261365716929,2.1236631126666142e-15,1.1636056812623103e-15,-8.881784197001252e-16
0.84,1.7015171754484015,1.6432758025272205,1.9062736255375834,1.8467744440185132,2.2452059710116425,2.1613421051565913,0.20559595349018994,0.006853883694382323,0.20432263793020128,2.744582904288267e-15,9.776506273651787e-15,2.90878432451791e-14
0.841,1.6998231474110388,1.6416396609875827,1.9043773370606945,1.8449372566404567,2.2469057941590536,2.162983744817579,0.20539139930053985,0.006847048196648378,0.20411934033454876,6.777198200219978e-16,2.7681298618118785e-15,1.887379141862766e-14
0.842,1.6981307946029303,1.6400051376835585,1.9024829212468881,1.8431018838016529,2.2486039249536565,2.1646237499552625,0.20518704717389583,0.006840219492240344,0.20391624358842994,7.805185943340434e-16,2.462173498404228e-15,-2.886579864025407e-15
0.843,1.6964401153852389,1.6383722310315691,1.9005903762691405,1.8412683237313208,2.250300365069042,2.166262122186294,0.20498289691301197,0.006833397574444876,0.20371334749572997,2.855015526021514e-15,4.5222483748673383e-17,-8.215650382226158e-15
0.844,1.6947511081207203,1.6367409394495491,1.898699700302209,1.8394365746603785,2.2519951161771625,2.167898863125744,0.20477894832083043,0.006826582436555222,0.20351065186051878,6.870554905164442e-16,4.3381370683937124e-15,5.551115123125783e-15
0.845,1.6930637711736856,1.6351112613569934,1.8968108915225643,1.8376066348214366,2.253688179948336,2.1695339743871007,0.2045752012004813,0.006819774071871113,0.2033081564870549,2.7875404861963248e-15,6.170065140239455e-15,2.353672812205332e-14
0.846,1.6913781029099852,1.6334831951748892,1.8949239481084417,1.8357785024487716,2.255379558051246,2.1711674575822757,0.2043716553552833,0.0068129724736989625,0.20310586117978022,1.0399604008787776e-15,6.4332365852942785e-15,2.90878432451791e-14
0.847,1.6896941016971079,1.6318567393257093,1.8930388682397976,1.8339521757783652,2.2570692521529434,2.1727993143216016,0.20416831058873952,0.006806177635351538,0.2029037657433283,3.372240527491376e-16,6.371538739400586e-15,1.687538997430238e-14
0.848,1.6880117659040064,1.630231892233464,1.8911556500982891,1.8321276530478585,2.2587572639188473,2.174429546213835,0.20396516670454548,0.00679938955014833,0.20270186998251388,3.1701273941487774e-15,3.166217863704135e-15,2.398081733190338e-14
0.849,1.6863310939012586,1.6286086523236702,1.8892742918673688,1.8303049324965943,2.2604435950127484,2.176058154866159,0.2037622235065801,0.006792608211415283,0.20250017370234086,2.049412737497863e-15,2.358072653141548e-15,-1.7763568394002505e-15
0.85,1.684652084061005,1.6269870180233157,1.887394791732171,1.8284840123655617,2.2621282470968094,2.177685141884182,0.2035594807989084,0.0067858336124848396,0.20229867670799875,1.5073404425318969e-15,7.27859714260022e-15,2.90878432451791e-14
0.851,1.6829747347568975,1.6253669877609602,1.8855171478795616,1.8266648908974639,2.2638112218315665,2.179310508871943,0.2033569383857858,0.006779065746695934,0.20209737880486278,2.178619905808185e-15,4.2013270720667806e-15,1.4654943925052066e-14
