scenario,initialization,h,dt,t,J_red,Q_outer_red,bulk_balance_residual,bulk_balance_normalized,robin_flux_mismatch,M_red,mass_red,energy_red
constant,prepared,0.01,0.001,0.5630000000000001,0.28057507499150136,0.5173390629014669,8.68749516769185e-14,8.396326307709875e-14,-8.54316617449058e-14,0.2307090259768089,0.2380002431624025,0.036554112139511215
constant,prepared,0.01,0.001,0.5640000000000001,0.28028812428122546,0.5168285001700227,9.650613641554173e-14,9.33637912613031e-14,-9.747758156208874e-14,0.2309893141010901,0.23776370278651246,0.0364814037567331
constant,prepared,0.01,0.001,0.5650000000000001,0.2800015231029267,0.5163183850034324,7.777112287499222e-14,7.531314508050041e-14,-7.965850201685498e-14,0.23126931562419303,0.23752738592461034,0.03640883717834798
constant,prepared,0.01,0.001,0.5660000000000001,0.2797152705034426,0.5158087175583352,8.379408278358369e-14,8.12259272974581e-14,-8.126832540256146e-14,0.23154903089469647,0.23729129247755748,0.03633641215779654
constant,prepared,0.01,0.001,0.5670000000000001,0.27942936553635916,0.5152994979854211,8.548717289613705e-14,8.29490162811575e-14,-8.354428260304303e-14,0.23182846026023282,0.23705542234510774,0.036264128448623305
constant,prepared,0.01,0.001,0.5680000000000001,0.2791438072619625,0.5147907264294508,8.254508188088039e-14,8.017343518734319e-14,-8.149037000748649e-14,0.23210760406749478,0.23681977542594027,0.03619198580447725
constant,prepared,0.01,0.001,0.5690000000000001,0.27885859474719915,0.514282403029338,7.147060721024445e-14,6.948575995333281e-14,-7.061018436615996e-14,0.23238646266224197,0.23658435161765717,0.036119983979120855
constant,prepared,0.01,0.001,0.5700000000000001,0.27857372706558015,0.513774527918231,7.177591854201637e-14,6.985157363955064e-14,-7.593925488436071e-14,0.23266503638930755,0.23634915081680516,0.03604812272642981
constant,prepared,0.01,0.001,0.5710000000000001,0.2782892032971327,0.513267101223513,8.024136910478319e-14,7.816726312040999e-14,-7.66053886991358e-14,0.2329433255926047,0.23611417291887907,0.03597640180039886
constant,prepared,0.01,0.001,0.5720000000000001,0.2780050225283564,0.5127601230669393,7.67996777284452e-14,7.488850465699483e-14,-7.549516567451064e-14,0.23322133061513306,0.23587941781833957,0.03590482095514416
constant,prepared,0.01,0.001,0.5730000000000001,0.27772118385213546,0.5122535935646396,8.673617379884035e-14,8.46613619586917e-14,-8.398837181289309e-14,0.2334990517989852,0.23564488540862688,0.03583337994490883
constant,prepared,0.01,0.001,0.5740000000000001,0.2774376863676864,0.5117475128271998,8.540390616929017e-14,8.344340131470373e-14,-8.693046282814976e-14,0.23377648948535287,0.23541057558216777,0.035762078524064864
constant,prepared,0.01,0.001,0.5750000000000001,0.2771545291805227,0.5112418809596923,7.291389714225716e-14,7.131056732419842e-14,-7.80486786311485e-14,0.2340536440145334,0.23517648823038773,0.03569091644711749
constant,prepared,0.01,0.001,0.5760000000000001,0.2768717114023738,0.5107366980617816,7.05546732149287e-14,6.907147409093084e-14,-7.499556531342932e-14,0.23433051572593577,0.23494262324372753,0.0356198934687075
constant,prepared,0.01,0.001,0.577,0.2765892321511374,0.510231964227748,7.360778653264788e-14,7.213168881339123e-14,-7.6216810640517e-14,0.2346071049580869,0.2347089805116516,0.03554900934361667
constant,prepared,0.01,0.001,0.578,0.2763070905508011,0.509727679546548,7.183142969324763e-14,7.046059354393267e-14,-7.471800955727304e-14,0.2348834120486377,0.23447555992265784,0.03547826382677032
constant,prepared,0.01,0.001,0.579,0.2760252857314318,0.5092238441018581,8.398837181289309e-14,8.246704547095627e-14,-8.271161533457416e-14,0.23515943733436911,0.23424236136428742,0.03540765667324022
constant,prepared,0.01,0.001,0.58,0.2757438168290596,0.5087204579721808,8.0629947163402e-14,7.924779306575954e-14,-7.877032359715486e-14,0.2354351811511982,0.23400938472314342,0.03533718763824895
constant,prepared,0.01,0.001,0.581,0.2754626829856835,0.5082175212308154,7.077671781985373e-14,6.963230788308887e-14,-7.099876242477876e-14,0.23571064383418386,0.23377662988489714,0.035266856477170316
